73-ou-XW46,Apple,1,a
67-VI-yW05,Apricot,7,a;b
42-bV-BM29,Banana,34,x;;;
10-Dx-tU76,Cherry,94,;x
33-tL-TG49,Coconut Pie,3,
76-KM-iP14,Grape,123,category 1;category 2;category 3
72-Bx-hb21,Lemon,645,category 1;category2;my long category name;
23-jo-Db50,Lime Juice,2,xx
45-fU-oJ52,Apple,64984654,a;k;x
75-AQ-Tj43,Melon on a stick!,231,a;;b
67-VI-yW05,Onion,7,category 1
33-tL-TG49,Lime Juice,7,o;x;y
80Gw-xT97,Pear,920,a
30-$o-hk99,Peach,321,ok;xz
,Peach,321,ok;xz
03-AI-fez9,Pepper,31,wz
02-hy-nb81,,5,
81-Xw-Le86,Watermelon,,a;b;
99-eJ-rz01,Apple Pie,0,oi;xz
71-DU-jw55,Fish,-28,zip;zam
,,,
40-Sb-OL50,Pineapple,5.23,foo;bar